d normalized,Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,Barnes_14.3_T_1975,Barnes_19.5_T_1975,Barnes_24.55_T_1975,Barnes_B4_1974,Barnes_D4_1974,Barnes_T020_1979,Barnes_T061_1977,Barnes_T081_1978,Barnes_T091_1977,Barnes_T0975_1976,CampCentury,CampIII_78,CampVI_50,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Laika_75a,Laika_75b,Laika_75c,Laika_75d,Laika_75e,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,StationCentrale,Store_R29,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.0203,-10.7340,-10.0888,-11.0689,-10.9453,-10.5610,-10.7218,NaN,NaN,-12.3707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.5439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.6573,NaN,NaN,NaN,NaN,NaN,-24.0443,-27.1272,NaN,-6.8421,NaN,NaN,NaN,NaN,-12.2663,-11.5742,-9.0681,-8.6416,NaN
0.0200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.9731,-10.7074,-10.0147,-11.0218,-10.9121,-10.5309,-10.6977,NaN,-4.1085,-13.3118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.7434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.8063,NaN,NaN,NaN,-6.3895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.4950,NaN,NaN,NaN,-4.8634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.0230,NaN,NaN,NaN,NaN,NaN,-24.3930,-27.5554,NaN,-6.7811,NaN,NaN,NaN,NaN,-8.9812,-8.0603,-8.4101,-8.4700,NaN
0.0300,NaN,NaN,NaN,-23.6419,NaN,NaN,NaN,-9.9259,-10.6808,-9.9382,-10.9752,-10.8791,-10.5014,-10.6738,NaN,-2.5261,-13.9760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.4350,-31.7674,NaN,-20.9949,NaN,NaN,NaN,NaN,-4.7122,-4.5148,-2.8109,NaN,NaN,NaN,-5.6597,-5.5156,-4.4584,-4.6567,NaN,NaN,NaN,NaN,NaN,NaN,-9.7923,NaN,-9.4883,NaN,NaN,NaN,-5.9430,NaN,NaN,NaN,-6.8498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.3485,NaN,-31.6312,NaN,NaN,NaN,-24.6333,-27.7334,-5.2738,-7.1362,NaN,NaN,NaN,NaN,-7.4789,-7.1896,-8.3009,-8.4009,-3.2215
0.0400,-24.2976,NaN,NaN,-23.1669,NaN,NaN,NaN,-9.8787,-10.6544,-9.8607,-10.9283,-10.8461,-10.4722,-10.6500,NaN,-1.5670,-14.5427,NaN,-22.8457,-23.0530,NaN,NaN,NaN,NaN,-31.4644,-31.7910,NaN,-20.9434,-17.9576,NaN,NaN,NaN,-4.7113,-4.4313,-2.4746,NaN,NaN,NaN,-5.0687,-5.1892,-4.2589,-4.7927,NaN,NaN,NaN,NaN,NaN,NaN,-10.1014,NaN,-9.5016,NaN,NaN,0.2917,-6.9841,-10.7457,NaN,NaN,-7.9509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.6943,-29.0958,-31.6641,NaN,NaN,NaN,-24.8100,-27.7800,-6.8946,-7.7347,NaN,NaN,NaN,NaN,-6.8255,-6.6846,-8.3594,-8.4594,-4.1792
0.0500,-24.3490,NaN,NaN,-22.7634,NaN,NaN,NaN,-9.8313,-10.6279,-9.7812,-10.8813,-10.8125,-10.4437,-10.6264,NaN,-0.8853,-15.0309,NaN,-22.9090,-23.0207,-22.5427,NaN,NaN,NaN,-31.4697,-31.7957,NaN,-20.8919,-17.4027,NaN,NaN,NaN,-4.7097,-4.3521,-2.1895,NaN,NaN,-5.2146,-4.6189,-4.9509,-4.1253,-4.9313,NaN,NaN,NaN,NaN,NaN,NaN,-10.3200,NaN,-9.5241,NaN,NaN,0.1635,-7.9302,-12.2209,NaN,NaN,-9.0268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.6368,-29.1465,-31.6801,NaN,NaN,-18.4849,-24.9528,NaN,-8.0346,-8.5284,NaN,NaN,NaN,NaN,-6.5267,-6.5000,-8.4970,-8.5970,-5.0270
0.0600,-24.3341,NaN,NaN,-22.4675,NaN,-9.4293,NaN,-9.7838,-10.6016,-9.7002,-10.8345,-10.7792,-10.4159,-10.6029,NaN,-0.4077,-15.4333,NaN,-22.9771,-23.0055,-22.6484,NaN,NaN,NaN,-31.4468,-31.7701,NaN,-20.8405,-16.9297,-3.7456,NaN,NaN,-4.7074,-4.2762,-2.0963,NaN,-5.1294,-4.3339,-4.2098,-4.8296,-4.0747,-5.0701,NaN,NaN,NaN,NaN,NaN,NaN,-10.4235,NaN,-9.5736,NaN,NaN,0.0493,-8.7283,-13.5252,NaN,NaN,-10.0544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.0530,-29.1728,-31.6747,-11.9764,-20.9060,-18.5762,-25.0372,NaN,-8.9778,-9.4216,NaN,NaN,-2.7740,-1.9544,-6.4732,-6.4629,-8.6961,-8.7961,-5.8000
0.0700,-24.2409,NaN,NaN,-22.2649,NaN,-8.8341,NaN,-9.7367,-10.5753,-9.6187,-10.7871,-10.7457,-10.3890,-10.5796,NaN,-0.0463,-15.7918,NaN,-23.0505,-23.0020,-22.7202,NaN,NaN,NaN,-31.4050,-31.7252,NaN,-20.7890,-16.5481,-3.6958,NaN,NaN,-4.6783,-4.2065,-2.1395,NaN,-3.9968,-3.5875,-3.9737,-4.7617,-4.0459,-5.2016,NaN,NaN,-11.0183,-10.5762,NaN,-11.0032,-10.4798,NaN,-9.6582,NaN,NaN,-0.0471,-9.3527,-14.5885,NaN,NaN,-11.0219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.3076,-29.1817,-31.6553,-12.1157,-20.9710,-18.6423,-25.1108,NaN,-9.7973,-10.3322,NaN,NaN,-2.6746,-1.5427,-6.4418,-6.4340,-8.9389,-9.0389,-6.5558
0.0800,-24.1900,NaN,-22.2992,-22.0992,NaN,-8.3070,NaN,-9.6895,-10.5490,-9.5350,-10.7402,-10.7118,-10.3632,-10.5565,-24.5832,0.0000,-16.1264,-20.3274,-23.0990,-23.0018,-22.7439,NaN,NaN,NaN,-31.3539,-31.6719,NaN,-20.7375,-16.2321,-3.6480,NaN,NaN,-4.5344,-4.1405,-2.1524,NaN,-3.0420,-3.0312,-3.9805,-4.7064,-4.0311,-5.3344,NaN,NaN,-11.1008,-10.6839,NaN,-11.0665,-10.5260,-8.9504,-9.7661,NaN,NaN,-0.1233,-9.9236,-15.3354,NaN,NaN,-11.9173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.7204,-29.1799,-31.6270,-12.2450,-21.0317,-18.6641,-25.1511,NaN,-10.5396,-11.2084,NaN,NaN,-2.5846,-1.3104,-6.4176,-6.4117,-9.2077,-9.3077,-7.2724
0.0900,-24.1900,-22.3475,-22.2922,-21.9715,NaN,-7.8459,NaN,-9.6423,-10.5228,-9.4502,-10.6932,-10.6781,-10.3381,-10.5335,-24.6068,0.0000,-16.4200,-20.4365,-23.1223,-23.0017,-22.7526,NaN,NaN,NaN,-31.3026,-31.6181,NaN,-20.6861,-15.9591,-3.6025,NaN,NaN,-4.3286,-4.0722,-2.2220,NaN,-2.3745,-2.7136,-4.0671,-4.6356,-4.0406,-5.4913,NaN,NaN,-11.1833,-10.7914,NaN,-11.1288,-10.5870,-9.0290,-9.9231,NaN,NaN,-0.1750,-10.4713,-15.8648,NaN,NaN,-12.7289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.4657,-29.1669,-31.5967,-12.3567,-21.0852,-18.6526,-25.1791,NaN,-11.2826,-12.0535,NaN,NaN,-2.5068,-1.1038,-6.3992,-6.3947,-9.4846,-9.5846,-7.8997
0.1000,-24.1256,-22.3368,-22.2804,-21.8891,NaN,-7.4581,NaN,-9.5951,-10.4966,-9.3652,-10.6453,-10.6442,-10.3137,-10.5106,-24.6074,0.2358,NaN,-20.4315,-23.1378,-23.0025,-22.7581,NaN,NaN,NaN,-31.2536,-31.5671,NaN,-20.6343,-15.7074,-3.5599,NaN,NaN,-4.1210,-3.9971,-2.3739,NaN,-2.1004,-2.4838,-4.1292,-4.5486,-4.0860,-5.7030,NaN,NaN,-11.2688,-10.8976,NaN,-11.1889,-10.6559,-9.1563,-10.0983,NaN,NaN,-0.1985,-10.9939,-16.2883,NaN,NaN,-13.4381,NaN,NaN,NaN,NaN,-4.0799,NaN,NaN,-17.1658,-29.1471,-31.5684,-12.4477,-21.1308,-18.6358,-25.2030,NaN,-12.0888,-12.7724,NaN,NaN,-2.4445,-0.8438,-6.3851,-6.3816,-9.7498,-9.8498,-8.4594
0.1100,-24.0633,-22.3197,-22.2657,-21.8446,NaN,-7.1477,NaN,-9.5479,-10.4704,-9.2784,-10.5976,-10.6100,-10.2900,-10.4878,-24.6024,0.6882,NaN,-20.4099,-23.1412,-23.0129,-22.7600,NaN,NaN,NaN,-31.2085,-31.5212,NaN,-20.5826,-15.4711,-3.5206,NaN,NaN,-3.9785,-3.9138,-2.3590,NaN,-2.0224,-2.2965,-4.1379,-4.4900,-4.1475,-5.9560,-10.4016,NaN,-11.3542,-11.0304,NaN,-11.2479,-10.7289,-9.3213,-10.2883,NaN,0.0000,-0.1944,-11.4916,-16.6334,NaN,NaN,-14.0474,NaN,NaN,NaN,NaN,-3.8191,NaN,NaN,-17.1647,-29.1244,-31.5445,-12.5131,-21.1669,-18.6152,-25.2241,NaN,-13.0385,-13.6234,NaN,NaN,-2.4019,-0.5654,-6.3740,-6.3711,-9.9909,-10.0909,-8.9584
0.1200,-24.0309,-22.2993,-22.2474,-21.8150,NaN,-6.8763,NaN,-9.5007,-10.4445,-9.1876,-10.5494,-10.5759,-10.2669,-10.4654,-24.5942,0.7000,NaN,-20.3668,-23.1400,-23.0273,-22.7439,NaN,NaN,NaN,-31.1680,-31.4809,NaN,-20.5311,-15.2512,-3.4851,NaN,NaN,-3.9005,-3.8257,-2.4099,NaN,-1.9711,-2.1691,-4.1422,-4.5238,-4.2210,-6.2110,-10.4664,NaN,-11.4327,-11.1503,NaN,-11.3081,-10.8067,-9.6266,-10.5019,NaN,0.0000,-0.1708,-11.9645,-16.9275,NaN,NaN,-14.5375,NaN,NaN,NaN,NaN,-3.5671,NaN,NaN,-17.1132,-29.1017,-31.5261,-12.5538,-21.1942,-18.5967,-25.2433,NaN,-13.4558,-14.2992,NaN,NaN,-2.3726,-0.3072,-6.3644,-6.3618,-10.2054,-10.3054,-9.4064
0.1300,-23.9561,-22.2696,-22.2216,-21.7905,NaN,-6.6311,NaN,-9.4535,-10.4193,-9.0910,-10.5016,-10.5416,-10.2442,-10.4431,-24.5834,0.7000,NaN,-20.3364,-23.1376,-23.0350,-22.7227,NaN,NaN,NaN,-31.1327,-31.4464,NaN,-20.4797,-15.0513,-3.4537,NaN,NaN,-3.8369,-3.7395,-2.5418,NaN,-1.9315,-2.1197,-4.1507,-4.6669,-4.3204,-6.4438,-10.5252,NaN,-11.4986,-11.1894,NaN,-11.3777,-10.8898,-9.9412,-10.7979,NaN,0.0000,-0.1353,-12.4119,-17.1742,NaN,NaN,-14.9435,NaN,NaN,NaN,-6.8940,-3.3190,-5.5462,NaN,-17.0704,-29.0809,-31.5149,-12.5852,-21.2185,-18.5764,-25.2611,NaN,-13.4869,-14.8760,NaN,NaN,-2.3464,-0.1078,-6.3551,-6.3522,-10.4119,-10.5119,-9.8203
0.1400,-23.8925,-22.2273,-22.1900,-21.7620,NaN,-6.4048,NaN,-9.4063,-10.3945,-8.9905,-10.4544,-10.5071,-10.2218,-10.4209,-24.5709,0.7390,NaN,-20.2938,-23.1343,-23.0341,-22.7034,NaN,NaN,NaN,-31.1030,-31.4179,NaN,-20.4282,-14.8733,-3.4269,NaN,NaN,-3.7696,-3.6578,-2.6347,NaN,-1.8893,-2.1691,-4.1993,-4.7960,-4.4134,-6.6740,-10.5778,NaN,-11.5575,-11.1692,NaN,-11.4489,-10.9793,-10.1111,-11.1550,-11.2275,0.0000,-0.0950,-12.8398,-17.3857,NaN,NaN,-15.3145,NaN,NaN,-8.9611,-6.6642,-3.0799,-5.3622,NaN,-17.0828,-29.0624,-31.5087,-12.6110,-21.2401,-18.5559,-25.2794,NaN,-13.5006,-15.3882,NaN,NaN,-2.3245,-0.0059,-6.3446,-6.3410,-10.6169,-10.7169,-10.2064
0.1500,-23.8485,-22.1818,-22.1561,-21.7246,NaN,-6.1903,NaN,-9.3589,-10.3700,-8.8916,-10.4073,-10.4727,-10.1995,-10.3990,-24.5572,0.8118,NaN,-20.2493,-23.1287,-23.0316,-22.6957,NaN,NaN,-16.6836,-31.0783,-31.3951,NaN,-20.3767,-14.7105,-3.4054,NaN,NaN,-3.6962,-3.5720,-2.6772,NaN,-1.8325,-2.3006,-4.2708,-4.8311,-4.4865,-6.8842,-10.6272,NaN,-11.6208,-11.1405,NaN,-11.4987,-11.0767,-10.2131,-11.2837,-11.4944,0.0000,-0.0563,-13.2471,-17.5796,NaN,NaN,-15.6537,NaN,NaN,-8.6577,-6.4289,-2.8420,-5.1842,NaN,-17.1590,-29.0475,-31.5080,-12.6325,-21.2580,-18.5371,-25.2976,NaN,-13.5052,-15.8487,NaN,NaN,-2.3088,-0.0001,-6.3314,-6.3267,-10.8266,-10.9266,-10.5139
0.1600,-23.8157,-22.1380,-22.1168,-21.6830,NaN,-5.9830,NaN,-9.3114,-10.3457,-8.7957,-10.3618,-10.4379,-10.1772,-10.3772,-24.5366,0.9112,NaN,-20.2132,-23.1173,-23.0278,-22.6894,NaN,NaN,-16.7835,-31.0589,-31.3779,NaN,-20.3253,-14.5587,-3.3886,NaN,NaN,-3.6232,-3.4936,-2.7157,NaN,-1.7680,-2.4753,-4.3047,-4.8477,-4.5523,-7.0679,-10.6700,NaN,-11.7113,-11.1338,NaN,-11.5213,-11.2229,-10.2850,-11.2911,-11.6780,0.0000,-0.0258,-13.6339,-17.7759,NaN,NaN,-15.9615,NaN,NaN,-8.3606,-6.1871,-2.5843,-5.0125,NaN,-17.1239,-29.0354,-31.5115,-12.6513,-21.2715,-18.5215,-25.3159,NaN,-13.5091,-16.2528,NaN,NaN,-2.3007,-0.0004,-6.3143,-6.3081,-11.0454,-11.1454,-10.7618
0.1700,-23.7687,-22.0924,-22.0722,-21.6428,NaN,-5.7850,NaN,-9.2642,-10.3214,-8.7074,-10.3174,-10.4031,-10.1549,-10.3556,-24.5084,NaN,NaN,-20.1764,-23.1038,-23.0220,-22.6579,NaN,NaN,-16.8738,-31.0450,-31.3666,NaN,-20.2738,-14.4155,-3.3750,NaN,NaN,-3.5456,-3.4360,-2.7698,NaN,-1.7111,-2.6549,-4.3047,-4.8698,-4.6183,-7.2341,-10.7000,NaN,-11.8181,-11.2433,NaN,-11.5362,-11.3736,-10.3265,-11.2989,-11.7377,0.0000,-0.0106,-14.0008,-17.9759,NaN,NaN,-16.2472,NaN,NaN,-8.0713,-5.9377,-2.3138,-4.8480,NaN,-17.1136,-29.0258,-31.5213,-12.6691,-21.2800,-18.5081,-25.3342,NaN,-13.5208,-16.6099,-14.6748,-0.8141,-2.3000,-0.0009,-6.2920,-6.2845,-11.2821,-11.3821,-10.9549
0.1800,-23.7161,-22.0461,-22.0281,-21.6091,NaN,-5.5971,NaN,-9.2168,-10.2969,-8.6307,-10.2744,-10.3683,-10.1326,-10.3341,-24.4752,NaN,NaN,-20.1342,-23.0913,-23.0100,-22.6344,NaN,NaN,-16.9554,-31.0365,-31.3594,NaN,-20.2223,-14.2782,-3.3633,NaN,NaN,-3.4603,-3.4031,-2.8684,NaN,-1.6765,-2.8215,-4.3047,-4.9336,-4.6943,-7.3829,-10.7209,NaN,-11.8787,-11.4106,NaN,-11.5584,-11.4400,-10.3582,-11.3525,-11.7624,0.0000,-0.0080,-14.3471,-18.1709,NaN,NaN,-16.5110,NaN,NaN,-7.7912,-5.6833,-2.0759,-4.6848,-11.1528,-17.1128,-29.0191,-31.5360,-12.6879,-21.2853,-18.4942,-25.3527,NaN,-13.5489,-16.9257,-14.8853,-0.8574,-2.3000,-0.0018,-6.2661,-6.2577,-11.5429,-11.6429,-11.1052
0.1900,-23.6906,-22.0004,-21.9884,-21.5838,NaN,-5.4171,NaN,-9.1694,-10.2721,-8.5618,-10.2324,-10.3335,-10.1098,-10.3129,-24.4406,NaN,NaN,-20.0904,-23.0785,-22.9938,-22.6238,NaN,NaN,-17.0274,-31.0329,-31.3587,NaN,-20.1709,-14.1480,-3.3532,NaN,NaN,-3.3629,-3.3812,-2.9128,NaN,-1.7163,-3.0185,-4.3060,-5.0399,-4.7678,-7.5171,-10.7389,NaN,-11.8551,-11.5137,NaN,-11.6336,-11.4400,-10.3773,-11.4835,-11.7863,0.0000,-0.0064,-14.6779,-18.3648,NaN,NaN,-16.7559,NaN,NaN,-7.5206,-5.4222,-1.9215,-4.5209,-11.0820,-17.1021,-29.0150,-31.5488,-12.7069,-21.2900,-18.4808,-25.3711,NaN,-13.9853,-17.2071,-15.0953,-0.9022,-2.3000,-0.0028,-6.2375,-6.2283,-11.8333,-11.9333,-11.2344
0.2000,-23.6517,-21.9556,-21.9516,-21.5626,NaN,-5.2426,NaN,-9.1219,-10.2469,-8.4983,-10.1904,-10.2981,-10.0866,-10.2918,-24.4069,NaN,NaN,-20.0766,-23.0647,-22.9764,-22.6042,NaN,NaN,-17.0915,-31.0341,-31.3628,NaN,-20.1194,-14.0217,-3.3442,NaN,NaN,-3.2263,-3.3561,-2.9360,NaN,-1.9715,-3.2170,-4.3555,-5.1314,-4.8156,-7.6348,-10.7594,NaN,-11.7939,-11.5670,NaN,-11.7473,-11.4400,-10.3746,-11.6574,-11.8119,0.0000,-0.0053,-14.9924,-18.5558,NaN,NaN,-16.9854,NaN,NaN,-7.2652,-5.1394,-1.8587,-4.3634,-11.0124,-17.0855,-29.0134,-31.5735,-12.7245,-21.2938,-18.4684,-25.3897,NaN,-14.4664,-17.4295,-15.3046,-0.9485,-2.3000,-0.0042,-6.2064,-6.1966,-12.1821,-12.2821,-11.3571
0.2100,-23.6012,-21.9108,-21.9157,-21.5414,NaN,-5.0709,NaN,-9.0745,-10.2210,-8.4385,-10.1487,-10.2631,-10.0629,-10.2709,-24.3728,NaN,NaN,-20.0533,-23.0492,-22.9560,-22.5782,NaN,NaN,-17.1650,-31.0399,-31.3721,NaN,-20.0679,-13.8983,-3.3358,-3.7731,NaN,-3.0630,-3.3072,-3.0759,NaN,-2.3385,-3.3798,-4.4330,-5.1795,-4.8390,-7.7483,-10.7857,NaN,-11.7513,-11.6068,NaN,-11.8098,-11.4400,-10.3439,-11.9647,-11.8436,-0.0002,-0.0045,-15.2911,-18.7437,NaN,NaN,-17.2025,NaN,NaN,-7.0231,-4.8376,-1.8277,-4.2210,-10.9440,-17.0722,-29.0142,-31.6001,-12.7389,-21.2966,-18.4568,-25.4083,NaN,-14.6576,-17.3054,-15.5133,-0.9962,-2.3000,-0.0058,-6.1732,-6.1627,-12.6280,-12.7280,-11.4410
0.2200,-23.5535,-21.8695,-21.8796,-21.5167,NaN,-4.9041,NaN,-9.0270,-10.1943,-8.3789,-10.1067,-10.2279,-10.0385,-10.2502,-24.3367,NaN,NaN,-20.0152,-23.0314,-22.9322,-22.5530,NaN,NaN,-17.2368,-31.0505,-31.3849,NaN,-20.0165,-13.7761,-3.3276,-3.6851,NaN,-2.9121,-3.1500,-3.1464,NaN,-2.6784,-3.4721,-4.4838,-5.2167,-4.8576,-7.8655,-10.8062,NaN,-11.7608,-11.6367,NaN,-11.8100,-11.4787,-10.3144,-12.1519,-11.9055,-0.0010,-0.0035,-15.5744,-18.9286,NaN,NaN,-17.4087,NaN,NaN,-6.7893,-4.5430,-1.8052,-4.1030,-10.8768,-17.0601,-29.0169,-31.6307,-12.7479,-21.2983,-18.4458,-25.4271,NaN,-14.7834,-17.4267,-15.7213,-1.0453,-2.2973,-0.0076,-6.1380,-6.1270,-13.1413,-13.2413,-11.4971
0.2300,-23.5065,-21.8352,-21.8429,-21.4855,NaN,-4.7396,NaN,-8.9795,-10.1667,-8.3182,-10.0635,-10.1923,-10.0136,-10.2296,-24.2993,NaN,NaN,-19.9801,-23.0112,-22.9108,-22.5333,NaN,NaN,-17.2614,-31.0657,-31.4034,NaN,-19.9650,-13.6527,-3.3190,-3.5996,NaN,-2.8087,-2.9560,-3.1854,NaN,-2.8618,-3.5266,-4.5040,-5.2671,-4.8846,-7.9826,-10.8095,NaN,-11.7889,-11.6642,NaN,-11.8100,-11.5658,-10.3362,-12.1155,-12.0232,-0.0023,-0.0021,-15.8422,-19.1087,NaN,NaN,-17.6111,NaN,NaN,-6.5578,-4.2830,-1.7878,-4.0094,-10.8108,-17.0488,-29.0215,-31.6649,-12.7500,-21.2985,-18.4362,NaN,NaN,-14.8832,-18.0750,-15.9288,-1.0957,-2.2552,-0.0097,-6.1012,-6.0897,-13.7079,-13.8079,-11.5198
